# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.580860287    0.010560602    0.010560602    0.010560602
    2.590863621    0.010626134    0.010626134    0.010626134
    2.600866956    0.010692077    0.010692077    0.010692077
    2.610870290    0.010758438    0.010758438    0.010758438
    2.620873625    0.010825221    0.010825221    0.010825221
    2.630876959    0.010892431    0.010892431    0.010892431
    2.640880293    0.010960074    0.010960074    0.010960074
    2.650883628    0.011028156    0.011028155    0.011028156
    2.660886962    0.011096681    0.011096681    0.011096681
    2.670890297    0.011165656    0.011165656    0.011165656
    2.680893631    0.011235087    0.011235086    0.011235087
    2.690896966    0.011304978    0.011304978    0.011304978
    2.700900300    0.011375337    0.011375337    0.011375337
    2.710903635    0.011446169    0.011446169    0.011446169
    2.720906969    0.011517481    0.011517480    0.011517481
    2.730910303    0.011589278    0.011589278    0.011589278
    2.740913638    0.011661567    0.011661567    0.011661567
    2.750916972    0.011734355    0.011734355    0.011734355
    2.760920307    0.011807648    0.011807647    0.011807648
    2.770923641    0.011881452    0.011881452    0.011881452
    2.780926976    0.011955776    0.011955776    0.011955776
    2.790930310    0.012030625    0.012030625    0.012030625
    2.800933645    0.012106007    0.012106007    0.012106007
    2.810936979    0.012181929    0.012181929    0.012181929
    2.820940313    0.012258398    0.012258398    0.012258398
    2.830943648    0.012335423    0.012335423    0.012335423
    2.840946982    0.012413010    0.012413010    0.012413010
    2.850950317    0.012491167    0.012491167    0.012491167
    2.860953651    0.012569902    0.012569902    0.012569902
    2.870956986    0.012649224    0.012649224    0.012649224
    2.880960320    0.012729140    0.012729140    0.012729140
    2.890963655    0.012809659    0.012809659    0.012809659
    2.900966989    0.012890790    0.012890790    0.012890790
    2.910970323    0.012972541    0.012972540    0.012972541
    2.920973658    0.013054920    0.013054920    0.013054920
    2.930976992    0.013137938    0.013137938    0.013137938
    2.940980327    0.013221604    0.013221604    0.013221604
    2.950983661    0.013305926    0.013305926    0.013305926
    2.960986996    0.013390915    0.013390915    0.013390915
    2.970990330    0.013476579    0.013476579    0.013476579
    2.980993665    0.013562930    0.013562930    0.013562930
    2.990996999    0.013649978    0.013649978    0.013649978
    3.001000333    0.013737732    0.013737732    0.013737732
    3.011003668    0.013826204    0.013826204    0.013826204
    3.021007002    0.013915404    0.013915404    0.013915404
    3.031010337    0.014005344    0.014005344    0.014005344
    3.041013671    0.014096034    0.014096034    0.014096034
    3.051017006    0.014187487    0.014187486    0.014187486
    3.061020340    0.014279713    0.014279713    0.014279713
    3.071023675    0.014372726    0.014372726    0.014372726
    3.081027009    0.014466537    0.014466537    0.014466537
    3.091030343    0.014561159    0.014561159    0.014561159
    3.101033678    0.014656606    0.014656605    0.014656606
    3.111037012    0.014752889    0.014752889    0.014752889
    3.121040347    0.014850022    0.014850022    0.014850022
    3.131043681    0.014948020    0.014948020    0.014948020
    3.141047016    0.015046896    0.015046896    0.015046896
    3.151050350    0.015146665    0.015146665    0.015146665
    3.161053685    0.015247341    0.015247341    0.015247341
    3.171057019    0.015348940    0.015348940    0.015348940
    3.181060353    0.015451476    0.015451476    0.015451476
    3.191063688    0.015554965    0.015554965    0.015554965
    3.201067022    0.015659425    0.015659424    0.015659424
    3.211070357    0.015764870    0.015764870    0.015764870
    3.221073691    0.015871318    0.015871318    0.015871318
    3.231077026    0.015978786    0.015978786    0.015978786
    3.241080360    0.016087292    0.016087292    0.016087292
    3.251083695    0.016196854    0.016196854    0.016196854
    3.261087029    0.016307491    0.016307491    0.016307491
    3.271090363    0.016419222    0.016419222    0.016419222
    3.281093698    0.016532065    0.016532065    0.016532065
    3.291097032    0.016646042    0.016646042    0.016646042
    3.301100367    0.016761173    0.016761172    0.016761173
    3.311103701    0.016877478    0.016877478    0.016877478
    3.321107036    0.016994979    0.016994979    0.016994979
    3.331110370    0.017113699    0.017113699    0.017113699
    3.341113705    0.017233660    0.017233659    0.017233659
    3.351117039    0.017354885    0.017354884    0.017354885
    3.361120373    0.017477398    0.017477398    0.017477398
    3.371123708    0.017601224    0.017601224    0.017601224
    3.381127042    0.017726388    0.017726388    0.017726388
    3.391130377    0.017852916    0.017852916    0.017852916
    3.401133711    0.017980835    0.017980835    0.017980835
    3.411137046    0.018110171    0.018110171    0.018110171
    3.421140380    0.018240953    0.018240953    0.018240953
    3.431143715    0.018373210    0.018373210    0.018373210
    3.441147049    0.018506972    0.018506971    0.018506972
    3.451150383    0.018642268    0.018642268    0.018642268
    3.461153718    0.018779131    0.018779130    0.018779130
    3.471157052    0.018917592    0.018917592    0.018917592
    3.481160387    0.019057685    0.019057685    0.019057685
    3.491163721    0.019199444    0.019199444    0.019199444
    3.501167056    0.019342905    0.019342904    0.019342905
    3.511170390    0.019488103    0.019488102    0.019488103
    3.521173725    0.019635076    0.019635076    0.019635076
    3.531177059    0.019783862    0.019783862    0.019783862
    3.541180393    0.019934502    0.019934502    0.019934502
    3.551183728    0.020087036    0.020087036    0.020087036
    3.561187062    0.020241506    0.020241506    0.020241506
    3.571190397    0.020397956    0.020397955    0.020397956
    3.581193731    0.020556430    0.020556430    0.020556430
    3.591197066    0.020716976    0.020716975    0.020716976
    3.601200400    0.020879640    0.020879640    0.020879640
    3.611203735    0.021044473    0.021044472    0.021044473
    3.621207069    0.021211524    0.021211524    0.021211524
    3.631210403    0.021380848    0.021380848    0.021380848
    3.641213738    0.021552498    0.021552498    0.021552498
    3.651217072    0.021726531    0.021726531    0.021726531
    3.661220407    0.021903005    0.021903005    0.021903005
    3.671223741    0.022081980    0.022081980    0.022081980
    3.681227076    0.022263519    0.022263519    0.022263519
    3.691230410    0.022447686    0.022447686    0.022447686
    3.701233745    0.022634548    0.022634547    0.022634548
    3.711237079    0.022824173    0.022824173    0.022824173
    3.721240413    0.023016635    0.023016635    0.023016635
    3.731243748    0.023212007    0.023212007    0.023212007
    3.741247082    0.023410366    0.023410366    0.023410366
    3.751250417    0.023611792    0.023611792    0.023611792
    3.761253751    0.023816368    0.023816368    0.023816368
    3.771257086    0.024024180    0.024024180    0.024024180
    3.781260420    0.024235318    0.024235318    0.024235318
    3.791263755    0.024449875    0.024449874    0.024449875
    3.801267089    0.024667946    0.024667946    0.024667946
    3.811270423    0.024889632    0.024889632    0.024889632
    3.821273758    0.025115038    0.025115038    0.025115038
    3.831277092    0.025344272    0.025344272    0.025344272
    3.841280427    0.025577447    0.025577447    0.025577447
    3.851283761    0.025814681    0.025814681    0.025814681
    3.861287096    0.026056096    0.026056096    0.026056096
    3.871290430    0.026301820    0.026301820    0.026301820
    3.881293765    0.026551986    0.026551986    0.026551986
    3.891297099    0.026806733    0.026806733    0.026806733
