# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    2.850950317    3.590699047    3.590699047    3.590699047
    2.860953651    3.589270333    3.589270332    3.589270333
    2.870956986    3.587838903    3.587838902    3.587838902
    2.880960320    3.586404772    3.586404771    3.586404772
    2.890963655    3.584967957    3.584967956    3.584967957
    2.900966989    3.583528475    3.583528474    3.583528474
    2.910970323    3.582086340    3.582086339    3.582086340
    2.920973658    3.580641570    3.580641569    3.580641570
    2.930976992    3.579194180    3.579194179    3.579194180
    2.940980327    3.577744186    3.577744185    3.577744186
    2.950983661    3.576291605    3.576291604    3.576291605
    2.960986996    3.574836451    3.574836451    3.574836451
    2.970990330    3.573378742    3.573378741    3.573378742
    2.980993665    3.571918493    3.571918492    3.571918492
    2.990996999    3.570455719    3.570455718    3.570455719
    3.001000333    3.568990437    3.568990436    3.568990437
    3.011003668    3.567522663    3.567522662    3.567522662
    3.021007002    3.566052411    3.566052410    3.566052411
    3.031010337    3.564579699    3.564579698    3.564579699
    3.041013671    3.563104541    3.563104540    3.563104541
    3.051017006    3.561626954    3.561626953    3.561626953
    3.061020340    3.560146952    3.560146951    3.560146952
    3.071023675    3.558664552    3.558664551    3.558664552
    3.081027009    3.557179769    3.557179769    3.557179769
    3.091030343    3.555692619    3.555692619    3.555692619
    3.101033678    3.554203118    3.554203117    3.554203117
    3.111037012    3.552711280    3.552711279    3.552711279
    3.121040347    3.551217121    3.551217120    3.551217121
    3.131043681    3.549720657    3.549720656    3.549720656
    3.141047016    3.548221902    3.548221901    3.548221902
    3.151050350    3.546720874    3.546720873    3.546720873
    3.161053685    3.545217585    3.545217585    3.545217585
    3.171057019    3.543712053    3.543712052    3.543712053
    3.181060353    3.542204292    3.542204292    3.542204292
    3.191063688    3.540694318    3.540694317    3.540694318
    3.201067022    3.539182146    3.539182145    3.539182145
    3.211070357    3.537667790    3.537667789    3.537667790
    3.221073691    3.536151266    3.536151265    3.536151266
    3.231077026    3.534632589    3.534632589    3.534632589
    3.241080360    3.533111775    3.533111774    3.533111775
    3.251083695    3.531588838    3.531588837    3.531588837
    3.261087029    3.530063792    3.530063792    3.530063792
    3.271090363    3.528536654    3.528536654    3.528536654
    3.281093698    3.527007438    3.527007438    3.527007438
    3.291097032    3.525476159    3.525476159    3.525476159
    3.301100367    3.523942832    3.523942831    3.523942832
    3.311103701    3.522407472    3.522407471    3.522407471
    3.321107036    3.520870092    3.520870091    3.520870092
    3.331110370    3.519330709    3.519330708    3.519330709
    3.341113705    3.517789337    3.517789336    3.517789337
    3.351117039    3.516245990    3.516245989    3.516245990
    3.361120373    3.514700684    3.514700683    3.514700683
    3.371123708    3.513153432    3.513153431    3.513153431
    3.381127042    3.511604249    3.511604248    3.511604249
    3.391130377    3.510053150    3.510053149    3.510053150
    3.401133711    3.508500150    3.508500149    3.508500150
    3.411137046    3.506945262    3.506945261    3.506945262
    3.421140380    3.505388502    3.505388501    3.505388502
    3.431143715    3.503829883    3.503829882    3.503829883
    3.441147049    3.502269420    3.502269419    3.502269420
    3.451150383    3.500707127    3.500707126    3.500707127
    3.461153718    3.499143019    3.499143018    3.499143019
    3.471157052    3.497577109    3.497577109    3.497577109
    3.481160387    3.496009413    3.496009412    3.496009413
    3.491163721    3.494439943    3.494439942    3.494439943
    3.501167056    3.492868715    3.492868714    3.492868714
    3.511170390    3.491295741    3.491295741    3.491295741
    3.521173725    3.489721037    3.489721037    3.489721037
    3.531177059    3.488144617    3.488144616    3.488144616
    3.541180393    3.486566493    3.486566492    3.486566493
    3.551183728    3.484986681    3.484986680    3.484986681
    3.561187062    3.483405193    3.483405193    3.483405193
    3.571190397    3.481822045    3.481822044    3.481822045
    3.581193731    3.480237249    3.480237248    3.480237249
    3.591197066    3.478650820    3.478650819    3.478650820
    3.601200400    3.477062771    3.477062770    3.477062771
    3.611203735    3.475473115    3.475473115    3.475473115
    3.621207069    3.473881868    3.473881867    3.473881867
    3.631210403    3.472289041    3.472289040    3.472289041
    3.641213738    3.470694649    3.470694648    3.470694649
    3.651217072    3.469098705    3.469098704    3.469098705
    3.661220407    3.467501223    3.467501222    3.467501222
    3.671223741    3.465902216    3.465902215    3.465902215
    3.681227076    3.464301697    3.464301696    3.464301697
    3.691230410    3.462699680    3.462699680    3.462699680
    3.701233745    3.461096179    3.461096178    3.461096179
    3.711237079    3.459491206    3.459491205    3.459491206
    3.721240413    3.457884775    3.457884774    3.457884775
    3.731243748    3.456276899    3.456276898    3.456276899
    3.741247082    3.454667591    3.454667590    3.454667591
    3.751250417    3.453056865    3.453056864    3.453056864
    3.761253751    3.451444732    3.451444731    3.451444732
    3.771257086    3.449831207    3.449831207    3.449831207
    3.781260420    3.448216303    3.448216302    3.448216303
    3.791263755    3.446600032    3.446600031    3.446600032
    3.801267089    3.444982407    3.444982406    3.444982407
    3.811270423    3.443363442    3.443363441    3.443363442
    3.821273758    3.441743148    3.441743147    3.441743148
    3.831277092    3.440121540    3.440121539    3.440121540
    3.841280427    3.438498629    3.438498628    3.438498629
    3.851283761    3.436874428    3.436874427    3.436874428
    3.861287096    3.435248950    3.435248950    3.435248950
    3.871290430    3.433622208    3.433622208    3.433622208
    3.881293765    3.431994215    3.431994214    3.431994214
    3.891297099    3.430364982    3.430364981    3.430364982
    3.901300433    3.428734522    3.428734521    3.428734522
    3.911303768    3.427102848    3.427102848    3.427102848
    3.921307102    3.425469973    3.425469972    3.425469973
    3.931310437    3.423835908    3.423835907    3.423835908
    3.941313771    3.422200666    3.422200665    3.422200666
    3.951317106    3.420564260    3.420564259    3.420564259
    3.961320440    3.418926701    3.418926700    3.418926700
    3.971323775    3.417288002    3.417288001    3.417288001
    3.981327109    3.415648174    3.415648174    3.415648174
    3.991330443    3.414007231    3.414007231    3.414007231
    4.001333778    3.412365185    3.412365184    3.412365184
    4.011337112    3.410722046    3.410722045    3.410722046
    4.021340447    3.409077828    3.409077827    3.409077828
    4.031343781    3.407432543    3.407432542    3.407432542
    4.041347116    3.405786201    3.405786200    3.405786201
    4.051350450    3.404138816    3.404138815    3.404138816
    4.061353785    3.402490399    3.402490398    3.402490399
    4.071357119    3.400840961    3.400840961    3.400840961
    4.081360453    3.399190516    3.399190515    3.399190516
    4.091363788    3.397539073    3.397539073    3.397539073
    4.101367122    3.395886646    3.395886645    3.395886646
    4.111370457    3.394233246    3.394233245    3.394233246
    4.121373791    3.392578884    3.392578883    3.392578883
    4.131377126    3.390923571    3.390923571    3.390923571
    4.141380460    3.389267321    3.389267320    3.389267320
    4.151383795    3.387610143    3.387610142    3.387610143
    4.161387129    3.385952049    3.385952049    3.385952049
    4.171390463    3.384293052    3.384293051    3.384293052
    4.181393798    3.382633161    3.382633161    3.382633161
    4.191397132    3.380972390    3.380972389    3.380972389
    4.201400467    3.379310747    3.379310747    3.379310747
    4.211403801    3.377648246    3.377648245    3.377648246
    4.221407136    3.375984897    3.375984897    3.375984897
    4.231410470    3.374320712    3.374320711    3.374320712
    4.241413805    3.372655701    3.372655700    3.372655701
    4.251417139    3.370989876    3.370989875    3.370989875
    4.261420473    3.369323247    3.369323246    3.369323247
    4.271423808    3.367655826    3.367655825    3.367655826
    4.281427142    3.365987623    3.365987622    3.365987623
    4.291430477    3.364318650    3.364318649    3.364318650
    4.301433811    3.362648918    3.362648917    3.362648917
    4.311437146    3.360978436    3.360978435    3.360978436
    4.321440480    3.359307217    3.359307216    3.359307217
    4.331443815    3.357635270    3.357635270    3.357635270
    4.341447149    3.355962607    3.355962607    3.355962607
    4.351450483    3.354289238    3.354289238    3.354289238
    4.361453818    3.352615174    3.352615173    3.352615174
    4.371457152    3.350940426    3.350940425    3.350940425
    4.381460487    3.349265003    3.349265002    3.349265003
    4.391463821    3.347588916    3.347588916    3.347588916
    4.401467156    3.345912177    3.345912176    3.345912177
    4.411470490    3.344234795    3.344234794    3.344234795
    4.421473825    3.342556781    3.342556780    3.342556780
    4.431477159    3.340878144    3.340878144    3.340878144
    4.441480493    3.339198896    3.339198896    3.339198896
    4.451483828    3.337519047    3.337519047    3.337519047
    4.461487162    3.335838607    3.335838606    3.335838607
    4.471490497    3.334157586    3.334157585    3.334157586
    4.481493831    3.332475994    3.332475993    3.332475994
    4.491497166    3.330793841    3.330793841    3.330793841
    4.501500500    3.329111138    3.329111137    3.329111138
    4.511503835    3.327427894    3.327427894    3.327427894
    4.521507169    3.325744120    3.325744119    3.325744120
    4.531510504    3.324059825    3.324059824    3.324059825
    4.541513838    3.322375020    3.322375019    3.322375019
    4.551517172    3.320689713    3.320689712    3.320689713
    4.561520507    3.319003916    3.319003915    3.319003916
    4.571523841    3.317317637    3.317317636    3.317317637
    4.581527176    3.315630887    3.315630886    3.315630887
    4.591530510    3.313943675    3.313943674    3.313943675
    4.601533845    3.312256011    3.312256010    3.312256011
    4.611537179    3.310567905    3.310567904    3.310567904
    4.621540514    3.308879365    3.308879365    3.308879365
    4.631543848    3.307190403    3.307190402    3.307190403
    4.641547182    3.305501026    3.305501026    3.305501026
    4.651550517    3.303811246    3.303811245    3.303811246
