# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    20.206130047   20.206130039   20.206130046
    1.270423474    4.031674372    4.031670803    4.031674504
    1.280426809    4.032528748    4.032525178    4.032528880
    1.290430143    4.033390612    4.033387043    4.033390744
    1.300433478    4.034259986    4.034256416    4.034260117
    1.310436812    4.035136888    4.035133318    4.035137020
    1.320440147    4.036021340    4.036017770    4.036021472
    1.330443481    4.036913362    4.036909792    4.036913494
    1.340446816    4.037812975    4.037809405    4.037813107
    1.350450150    4.038720201    4.038716631    4.038720332
    1.360453484    4.039635059    4.039631490    4.039635191
    1.370456819    4.040557573    4.040554003    4.040557705
    1.380460153    4.041487764    4.041484194    4.041487896
    1.390463488    4.042425654    4.042422084    4.042425786
    1.400466822    4.043371265    4.043367695    4.043371397
    1.410470157    4.044324619    4.044321049    4.044324751
    1.420473491    4.045285740    4.045282170    4.045285872
    1.430476826    4.046254651    4.046251081    4.046254783
    1.440480160    4.047231374    4.047227804    4.047231506
    1.450483494    4.048215933    4.048212363    4.048216065
    1.460486829    4.049208352    4.049204782    4.049208484
    1.470490163    4.050208655    4.050205085    4.050208787
    1.480493498    4.051216866    4.051213296    4.051216998
    1.490496832    4.052233010    4.052229440    4.052233142
    1.500500167    4.053257111    4.053253541    4.053257243
    1.510503501    4.054289194    4.054285624    4.054289326
    1.520506836    4.055329285    4.055325715    4.055329417
    1.530510170    4.056377409    4.056373839    4.056377541
    1.540513505    4.057433592    4.057430022    4.057433724
    1.550516839    4.058497861    4.058494291    4.058497992
    1.560520173    4.059570240    4.059566670    4.059570372
    1.570523508    4.060650758    4.060647188    4.060650890
    1.580526842    4.061739441    4.061735870    4.061739572
    1.590530177    4.062836315    4.062832745    4.062836447
    1.600533511    4.063941410    4.063937840    4.063941541
    1.610536846    4.065054752    4.065051181    4.065054883
    1.620540180    4.066176369    4.066172799    4.066176500
    1.630543515    4.067306290    4.067302720    4.067306421
    1.640546849    4.068444543    4.068440973    4.068444675
    1.650550183    4.069591158    4.069587588    4.069591290
    1.660553518    4.070746163    4.070742593    4.070746295
    1.670556852    4.071909589    4.071906018    4.071909720
    1.680560187    4.073081464    4.073077894    4.073081596
    1.690563521    4.074261820    4.074258249    4.074261951
    1.700566856    4.075450686    4.075447115    4.075450817
    1.710570190    4.076648093    4.076644523    4.076648225
    1.720573525    4.077854073    4.077850503    4.077854205
    1.730576859    4.079068657    4.079065086    4.079068789
    1.740580193    4.080291876    4.080288306    4.080292008
    1.750583528    4.081523764    4.081520193    4.081523895
    1.760586862    4.082764351    4.082760781    4.082764483
    1.770590197    4.084013671    4.084010101    4.084013803
