#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.414999999999999E+01  0.588280132742018E+00  0.329088947557986E-02  0.169981723252079E+01  0.950892326558493E-02
     0.419999999999999E+01  0.587671770534027E+00  0.335153011091902E-02  0.170157480118969E+01  0.970419112863970E-02
     0.424999999999999E+01  0.587052236261562E+00  0.341322375062774E-02  0.170336834570854E+01  0.990367966343872E-02
     0.429999999999999E+01  0.586421336053564E+00  0.347600775441657E-02  0.170519864233277E+01  0.101075512420099E-01
     0.434999999999999E+01  0.585778869203567E+00  0.353992118347706E-02  0.170706649698204E+01  0.103159761677418E-01
     0.439999999999999E+01  0.585124627861428E+00  0.360500490441369E-02  0.170897274667452E+01  0.105291331793507E-01
     0.444999999999999E+01  0.584458396706502E+00  0.367130170098621E-02  0.171091826105087E+01  0.107472099938000E-01
     0.449999999999999E+01  0.583779952600881E+00  0.373885639436804E-02  0.171290394399500E+01  0.109704038917596E-01
     0.454999999999999E+01  0.583089064221228E+00  0.380771597270135E-02  0.171493073535864E+01  0.111989223495779E-01
     0.459999999999999E+01  0.582385491667574E+00  0.387792973081265E-02  0.171699961279820E+01  0.114329837221710E-01
     0.464999999999999E+01  0.581668986047312E+00  0.394954942104696E-02  0.171911159373239E+01  0.116728179817182E-01
     0.469999999999999E+01  0.580939289032466E+00  0.402262941628414E-02  0.172126773743058E+01  0.119186675176003E-01
     0.474999999999999E+01  0.580196132388116E+00  0.409722688631986E-02  0.172346914724219E+01  0.121707880036329E-01
     0.479999999999999E+01  0.579439237469684E+00  0.417340198892819E-02  0.172571697297894E+01  0.124294493393438E-01
     0.484999999999999E+01  0.578668314686545E+00  0.425121807707462E-02  0.172801241346242E+01  0.126949366728332E-01
     0.489999999999999E+01  0.577883062929192E+00  0.433074192391990E-02  0.173035671925123E+01  0.129675515136459E-01
     0.494999999999999E+01  0.577083168956931E+00  0.441204396745058E-02  0.173275119556268E+01  0.132476129451033E-01
     0.499999999999999E+01  0.576268306742729E+00  0.449519857679370E-02  0.173519720540631E+01  0.135354589466970E-01
